Genes,Gene Clusters,Gene categories
Cdc45,G1,a
Igsf5,G1,a
Cdh4,G1,a
Rpa1,G1,a
Ddx3x,G1,a
Car4,G1,a
Hoxa4,G1,a
Uhrf1,G1,a
Ube2c,G1,a
Foxm1,G1,a
Tubb5,G1,a
Pwp1,G1,a
Aif1l,G1,a
Spag5,G1,a
Paxip1,G1,a
Dbf4,G1,a
Cse1l,G1,a
Chaf1a,G1,a
Dusp3,G1,a
Brd8,G1,a
Kif20a,G1,a
Dnmt1,G1,a
Utp20,G1,a
Coro1c,G1,a
Arid3b,G1,a
Lbr,G1,a
Spc25,G1,a
Mcm5,G1,a
Asf1b,G1,a
Ddx39,G1,a
Mthfd2,G1,a
Fbln1,G1,a
Gcat,G1,a
Cdc20,G1,a
Pola1,G1,a
Gmnn,G1,a
Aldh16a1,G1,a
Nutf2,G1,a
Tmem184b,G1,a
Bcl2l13,G1,a
Tnpo1,G1,a
Rnmt,G1,a
Kif11,G1,a
Cad,G1,a
E2f4,G1,a
Slc25a13,G1,a
Arnt2,G1,a
Anp32e,G1,a
Ncapg,G1,a
Nup50,G1,a
Brca1,G1,a
Cdc6,G1,a
Atad5,G1,a
Elmo2,G1,a
Birc5,G1,a
Wfdc2,G1,a
Mybl2,G1,a
Mtmr4,G1,a
Slc2a4,G1,a
Lhx1,G1,a
Arrb1,G1,a
Fbxo5,G1,a
Mical1,G1,a
Tube1,G1,a
Lama4,G1,a
Rtn4ip1,G1,a
Cdk1,G1,a
Tmpo,G1,a
Hbs1l,G1,a
Arg1,G1,a
Mtfr2,G1,a
Ddx21,G1,a
Ppa1,G1,a
Cand1,G1,a
Cnot2,G1,a
E2f7,G1,a
Csrp2,G1,a
Hmmr,G1,a
Rad50,G1,a
Pttg1,G1,a
Myl7,G1,a
Ska2,G1,a
Prr11,G1,a
Nampt,G1,a
Map2k6,G1,a
Rrm2,G1,a
Hnf1b,G1,a
Ftsj3,G1,a
Nup85,G1,a
Fam64a,G1,a
Hoxb9,G1,a
Aurkb,G1,a
Pfas,G1,a
Top2a,G1,a
Eftud2,G1,a
Mthfd1,G1,a
Clmn,G1,a
Pitrm1,G1,a
Otub2,G1,a
Cinp,G1,a
Eif5,G1,a
Xrcc3,G1,a
Amph,G1,a
Gli3,G1,a
Elovl2,G1,a
Cenpp,G1,a
Cep72,G1,a
Depdc1b,G1,a
Dhfr,G1,a
Emb,G1,a
Dnajc9,G1,a
Ska3,G1,a
Spata13,G1,a
Pbk,G1,a
Esco2,G1,a
Tars,G1,a
Brix1,G1,a
Rad21,G1,a
Shcbp1,G1,a
Sqle,G1,a
Atad2,G1,a
Gtse1,G1,a
Rangap1,G1,a
Fam118a,G1,a
Col2a1,G1,a
Bbx,G1,a
Nde1,G1,a
Tomm70a,G1,a
Umps,G1,a
Enah,G1,a
Tuba1b,G1,a
Racgap1,G1,a
Fhl1,G1,a
Scg5,G1,a
Cdca3,G1,a
Cenpq,G1,a
Sgol1,G1,a
Enpp4,G1,a
Arhgap28,G1,a
Ndc80,G1,a
Spast,G1,a
C3,G1,a
Hn1l,G1,a
Mapre2,G1,a
Cdc23,G1,a
Slmo1,G1,a
Psat1,G1,a
Incenp,G1,a
Fam111a,G1,a
Fen1,G1,a
Cdca5,G1,a
Kif20b,G1,a
Gldc,G1,a
Pola2,G1,a
Eif1ad,G1,a
Smc3,G1,a
Cep55,G1,a
Hells,G1,a
Aldh18a1,G1,a
Ccnj,G1,a
Alyref,G1,a
Limd1,G1,a
Prim1,G1,a
Tk1,G1,a
Phf6,G1,a
Tyms,G1,a
Plk4,G1,a
Nudt5,G1,a
Eya1,G1,a
Nif3l1,G1,a
Sgol2,G1,a
Tex30,G1,a
Plekhb2,G1,a
Prim2,G1,a
Rqcd1,G1,a
Xrcc5,G1,a
Farsb,G1,a
Pask,G1,a
Uck2,G1,a
Abl2,G1,a
Cenpf,G1,a
Eprs,G1,a
Nek2,G1,a
Suv39h2,G1,a
Dclre1c,G1,a
Sephs1,G1,a
Mcm10,G1,a
Nuf2,G1,a
Cenpl,G1,a
Dars2,G1,a
Mastl,G1,a
Ak1,G1,a
Notch1,G1,a
Sapcd2,G1,a
Pkp4,G1,a
Kif18a,G1,a
Nat10,G1,a
Myef2,G1,a
Lrp4,G1,a
Jag1,G1,a
Ubox5,G1,a
Nusap1,G1,a
Rad51,G1,a
Casc5,G1,a
Knstrn,G1,a
Pcna,G1,a
Mcm8,G1,a
Bub1,G1,a
Bcl2l11,G1,a
Polr1b,G1,a
Cst9,G1,a
Tpx2,G1,a
Aurka,G1,a
Sall4,G1,a
Dsn1,G1,a
Rbl1,G1,a
Pik3ca,G1,a
Actl6a,G1,a
Ect2,G1,a
