"","x"
"E10.5_XX_20140505_C01_150331_1","C1"
"E10.5_XX_20140505_C02_150331_1","C1"
"E10.5_XX_20140505_C03_150331_1","C1"
"E10.5_XX_20140505_C04_150331_2","C1"
"E10.5_XX_20140505_C06_150331_2","C1"
"E10.5_XX_20140505_C07_150331_3","C1"
"E10.5_XX_20140505_C08_150331_3","C1"
"E10.5_XX_20140505_C11_150331_4","C1"
"E10.5_XX_20140505_C15_150331_4","C1"
"E10.5_XX_20140505_C16_150331_6","C1"
"E10.5_XX_20140505_C17_150331_6","C1"
"E10.5_XX_20140505_C18_150331_5","C1"
"E10.5_XX_20140505_C19_150331_7","C1"
"E10.5_XX_20140505_C20_150331_7","C1"
"E10.5_XX_20140505_C21_150331_6","C1"
"E10.5_XX_20140505_C22_150331_8","C1"
"E10.5_XX_20140505_C23_150331_8","C1"
"E10.5_XX_20140505_C24_150331_8","C1"
"E10.5_XX_20140505_C25_150331_1","C1"
"E10.5_XX_20140505_C27_150331_1","C1"
"E10.5_XX_20140505_C29_150331_2","C1"
"E10.5_XX_20140505_C30_150331_2","C1"
"E10.5_XX_20140505_C31_150331_3","C1"
"E10.5_XX_20140505_C33_150331_3","C1"
"E10.5_XX_20140505_C34_150331_4","C1"
"E10.5_XX_20140505_C36_150331_4","C1"
"E10.5_XX_20140505_C37_150331_5","C1"
"E10.5_XX_20140505_C38_150331_5","C1"
"E10.5_XX_20140505_C39_150331_5","C1"
"E10.5_XX_20140505_C40_150331_6","C1"
"E10.5_XX_20140505_C41_150331_6","C1"
"E10.5_XX_20140505_C42_150331_8","C1"
"E10.5_XX_20140505_C48_150331_8","C1"
"E10.5_XX_20140505_C51_150331_2","C1"
"E10.5_XX_20140505_C52_150331_2","C1"
"E10.5_XX_20140505_C54_150331_2","C1"
"E10.5_XX_20140505_C56_150331_1","C1"
"E10.5_XX_20140505_C57_150331_3","C1"
"E10.5_XX_20140505_C58_150331_4","C1"
"E10.5_XX_20140505_C59_150331_4","C1"
"E10.5_XX_20140505_C60_150331_4","C1"
"E10.5_XX_20140505_C61_150331_5","C1"
"E10.5_XX_20140505_C62_150331_5","C1"
"E10.5_XX_20140505_C63_150331_5","C1"
"E10.5_XX_20140505_C65_150331_6","C1"
"E10.5_XX_20140505_C66_150331_6","C1"
"E10.5_XX_20140505_C67_150331_7","C1"
"E10.5_XX_20140505_C69_150331_7","C1"
"E10.5_XX_20140505_C70_150331_1","C1"
"E10.5_XX_20140505_C72_150331_1","C1"
"E10.5_XX_20140505_C74_150331_1","C1"
"E10.5_XX_20140505_C77_150331_2","C1"
"E10.5_XX_20140505_C78_150331_2","C1"
"E10.5_XX_20140505_C79_150331_3","C1"
"E10.5_XX_20140505_C80_150331_3","C1"
"E10.5_XX_20140505_C82_150331_5","C1"
"E10.5_XX_20140505_C83_150331_5","C1"
"E10.5_XX_20140505_C84_150331_4","C1"
"E10.5_XX_20140505_C85_150331_6","C1"
"E10.5_XX_20140505_C86_150331_6","C1"
"E10.5_XX_20140505_C87_150331_6","C1"
"E10.5_XX_20140505_C88_150331_7","C1"
"E10.5_XX_20140505_C89_150331_8","C1"
"E10.5_XX_20140505_C90_150331_8","C1"
"E10.5_XX_20140505_C91_150331_7","C1"
"E10.5_XX_20140505_C92_150331_7","C1"
"E10.5_XX_20140505_C94_150331_8","C1"
"E10.5_XX_20140505_C96_150331_8","C1"
"E11.5_XX_20140708_C01_150331_1","C1"
"E11.5_XX_20140708_C05_150331_1","C1"
"E11.5_XX_20140708_C06_150331_1","C1"
"E11.5_XX_20140708_C07_150331_3","C1"
"E11.5_XX_20140708_C08_150331_2","C1"
"E11.5_XX_20140708_C09_150331_2","C1"
"E11.5_XX_20140708_C10_150331_4","C3"
"E11.5_XX_20140708_C11_150331_4","C1"
