,status,family,pval,qval,genes,num_cells_expressed,C1,C3,C2,C4,cluster
A230050P20Rik,OK,negbinomial.size,0.0015221488050332,0.00645070992960384,A230050P20Rik,54,0.290456320365973,1.01217961318837,5.67860450353538,5.96699615459758,C4
A4galt,OK,negbinomial.size,1.2678135390079e-24,5.60408438221945e-23,A4galt,23,0.00362040962314555,1.56159367576254,21.2298994876056,14.6880986483618,C2
A830080D01Rik,OK,negbinomial.size,0.0137408057448613,0.041400515399232,A830080D01Rik,192,10.6987870006109,8.6205875591224,2.64152954768071,7.36192919844575,C1
AA474331,OK,negbinomial.size,0.0158002059176883,0.0466035424717324,AA474331,66,2.23629628880545,4.3871973645955,2.40332233381166,18.532638070587,C4
Aaas,OK,negbinomial.size,0.00356998896018495,0.0133771636139472,Aaas,208,43.195853758667,17.298307474707,30.1227665050203,31.454656626336,C1
Aacs,OK,negbinomial.size,6.49355849113155e-09,7.41141462923027e-08,Aacs,138,8.28508609458598,20.1345617597306,1.6586883918756,3.79290349610874,C3
Aagab,OK,negbinomial.size,3.73517667578474e-05,0.000239472976649953,Aagab,157,17.9117501531251,18.5221704673515,0.637541707366622,15.7563365556945,C3
Aar2,OK,negbinomial.size,0.00849806581219968,0.0277486087559785,Aar2,220,21.6711647661177,26.9923162908031,8.985150635152,20.0400827296946,C3
Aard,OK,negbinomial.size,6.27669634010002e-07,5.49232279066031e-06,Aard,55,0.291852627641694,6.11679828811314,5.7187969334605,34.3677046788802,C4
Aass,OK,negbinomial.size,7.73000057633212e-19,2.20957772029689e-17,Aass,25,1.77821995033097,8.92044109788288,0.000715131076585204,0.0325459980262453,C3
Abat,OK,negbinomial.size,3.96334762928866e-07,3.55017691890947e-06,Abat,277,10.5653967945232,21.2042458348185,8.02474101481641,2.44850998904257,C3
Abca4,OK,negbinomial.size,9.69140312989714e-05,0.000562547465974128,Abca4,38,0.160460963324556,1.19746812301898,0.00255933056908871,0.557319105295886,C3
Abca6,OK,negbinomial.size,3.61876904925628e-05,0.000232741131402918,Abca6,35,0.538387781878038,4.37843740776995,3.2103746119649,0.044181431389357,C3
Abca9,OK,negbinomial.size,6.93267832305451e-18,1.86949772053355e-16,Abca9,41,0.0465478994766883,2.4232168163638,8.67433456810621,1.91627623897237,C2
Abcb7,OK,negbinomial.size,9.93700869384186e-05,0.000575246367366732,Abcb7,123,5.74477838664503,0.959250598329107,4.73242326308549,1.5399460393852,C1
Abcc1,OK,negbinomial.size,0.000864542880799172,0.00395892313126371,Abcc1,166,1.64454823687809,3.97974822156949,1.75420120905111,7.31481883980243,C4
Abcc10,OK,negbinomial.size,0.00682620302823438,0.0230248517222815,Abcc10,53,0.407827749423464,2.29958745685899,0.321960354607248,0.158485064915694,C3
Abcc5,OK,negbinomial.size,0.00090858854866126,0.00414129297897634,Abcc5,408,5.08476459603872,11.5550057727705,7.96602852824116,5.23244108614586,C3
Abcc9,OK,negbinomial.size,6.73176863193692e-16,1.54626321272508e-14,Abcc9,26,0.0267391566719415,0.0553906398591012,6.10502736330448,0,C2
Abcd1,OK,negbinomial.size,0.000125888646453706,0.000713350510719834,Abcd1,46,0.959063183136648,7.27454673811431,2.58116035976708,0.656185176261208,C3
Abcd2,OK,negbinomial.size,8.88924602319623e-05,0.000521397043303115,Abcd2,43,1.93638193551981,1.77106535427827,7.57231602566923,14.3188286890386,C4
