"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","C1","C1","GO:0140014","mitotic nuclear division","71/1240","272/23239",7.62949040545254e-30,4.0512594052953e-26,2.92008706465531e-26,"11789/20878/20877/66165/56208/11799/12159/77744/12235/12237/268697/12443/12447/12449/12453/240665/107995/52563/23834/67849/52276/12617/229841/12649/12704/66934/13614/105988/67141/14184/209334/16002/16319/16551/381293/240641/110033/71819/16563/73804/16569/51944/16211/17295/17345/105837/17865/68298/78658/54392/215387/67052/59126/381318/68501/18226/108907/30939/26934/19384/19385/24061/13006/70099/50850/70385/20460/21335/72119/68612/74335",71
"2","C1","C1","GO:0048285","organelle fission","90/1240","464/23239",4.41999274899252e-27,1.17350807485751e-23,8.45847033438779e-24,"11789/20878/20877/66165/56208/11799/12159/77744/237911/12235/12237/12317/12323/268697/12443/12447/12449/12453/240665/107995/52563/23834/67849/52276/12617/229841/12649/12704/70383/66934/13614/268465/105988/211651/67141/14184/60530/209334/16002/16319/16542/16551/381293/240641/110033/71819/16563/73804/16569/51944/16211/67121/17295/239555/17345/105837/56428/67472/17865/68298/78658/54392/215387/72787/67052/59126/381318/68501/18226/108907/19017/30939/26934/19361/19384/19385/24061/13006/70099/50850/70385/20460/64707/21335/21973/21974/235559/72119/68612/74335",90
"3","C1","C1","GO:0007059","chromosome segregation","72/1240","311/23239",9.80406800552237e-27,1.73532003697746e-23,1.25079267607296e-23,"11789/20877/56208/11799/12189/237911/12235/12237/268697/12447/107995/52563/23834/108912/67849/52276/12617/229841/108000/26886/12704/12387/13205/66934/13605/268465/105988/211651/67141/14156/209334/16319/381293/110033/71819/73804/51944/16211/17345/72199/105837/68298/78658/54392/215387/72787/67052/59126/381318/68501/18226/108907/70645/30939/26934/58186/19384/108911/66468/66140/219114/24061/13006/70099/70385/20815/20460/21335/21969/21973/21974/74335",72
"4","C1","C1","GO:0000280","nuclear division","84/1240","417/23239",1.6270854794023e-26,2.15995597390656e-23,1.55686389555442e-23,"11789/20878/20877/66165/56208/11799/12159/77744/237911/12235/12237/12317/12323/268697/12443/12447/12449/12453/240665/107995/52563/23834/67849/52276/12617/229841/12649/12704/66934/13614/268465/105988/211651/67141/14184/60530/209334/16002/16319/16551/381293/240641/110033/71819/16563/73804/16569/51944/16211/67121/17295/17345/105837/17865/68298/78658/54392/215387/72787/67052/59126/381318/68501/18226/108907/30939/26934/19361/19384/19385/24061/13006/70099/50850/70385/20460/64707/21335/21973/21974/235559/72119/68612/74335",84
"5","C1","C1","GO:0007346","regulation of mitotic cell cycle","88/1240","499/23239",1.73436952370749e-23,1.76833541802912e-20,1.27458966794606e-20,"11504/11789/11792/20877/56208/11799/12159/77744/12189/56710/12235/12237/268697/12443/12447/12449/12453/240665/52563/12530/12544/23834/67849/12567/229841/108000/12649/12704/54124/269582/52468/12387/27214/233805/13194/13205/76843/52679/13614/268465/14056/67141/14165/14182/14184/17300/209334/15289/15902/16002/16319/16551/381293/240641/244329/17536/17295/17345/105837/67052/59126/68501/18226/108907/57913/18767/53317/19192/15170/30939/19385/108911/19684/67874/26941/24061/13006/64074/70385/20460/21335/77011/21973/21974/235559/72119/68612/74335",88
"6","C1","C1","GO:0000819","sister chromatid segregation","51/1240","181/23239",1.99811911641709e-23,1.76833541802912e-20,1.27458966794606e-20,"11789/20877/56208/11799/12235/12237/268697/107995/52563/23834/67849/52276/12617/229841/12704/12387/66934/105988/67141/14156/209334/16319/381293/110033/71819/73804/51944/16211/105837/68298/78658/54392/215387/67052/59126/381318/68501/18226/108907/30939/26934/19384/24061/13006/70099/70385/20460/21335/21973/21974/74335",51
"7","C1","C1","GO:0006260","DNA replication","59/1240","243/23239",3.03137012619102e-23,2.07854453261915e-20,1.49818374875671e-20,"12301/12447/12544/23834/27221/110749/27214/76843/52679/108961/268465/67141/14156/14165/14182/209334/69270/272551/57441/15903/67444/16588/16881/71735/70024/17216/17215/17217/17218/17219/17220/71567/17295/212377/50927/18148/98415/56452/208084/18971/18973/19076/19353/19361/19646/19718/106344/68275/20133/20135/54380/24061/13006/20833/66592/114741/77011/21969/218973",59
"8","C1","C1","GO:0000070","mitotic sister chromatid segregation","46/1240","148/23239",3.13151718662019e-23,2.07854453261915e-20,1.49818374875671e-20,"11789/20877/56208/11799/12235/12237/268697/107995/52563/23834/67849/52276/12617/229841/12704/66934/105988/67141/209334/16319/381293/110033/71819/73804/51944/16211/105837/68298/78658/54392/215387/67052/59126/381318/68501/18226/108907/30939/26934/19384/24061/70099/70385/20460/21335/74335",46
"9","C1","C1","GO:0045787","positive regulation of cell cycle","72/1240","355/23239",4.62321972813711e-23,2.72769963960089e-20,1.96608502122883e-20,"11504/11792/20878/20877/12125/56208/11799/12189/12317/12323/268697/12443/12447/12449/12453/240665/12530/12544/23834/67849/12567/229841/12649/12704/54124/27214/53817/13205/76843/226419/52679/108961/13605/13614/14056/67141/14156/14165/14182/209334/15289/15516/15902/16002/381293/240641/71819/16569/17536/17295/105837/18432/67052/18148/68501/18226/108907/57913/53317/70235/26934/19385/108911/19684/239336/64074/50850/20460/107829/68612/74335/22642",72
"10","C1","C1","GO:0006281","DNA repair","80/1240","442/23239",3.52965933875306e-22,1.87424910887788e-19,1.3509306690217e-19,"56456/211064/11792/77622/66165/12189/237911/12544/71702/67849/27221/110749/12649/269582/102871/13194/104721/110052/66233/76843/268465/227867/319955/97827/26909/14048/211651/67030/14156/14165/60344/60530/14235/209334/272551/15361/15364/15289/15312/59026/110033/16588/16881/71567/240087/72199/212377/18148/68501/98415/26430/11545/75317/55982/208084/18971/18973/30939/58186/19361/623474/56438/68275/54380/24061/13006/70099/71726/20833/114741/20937/77011/21974/235559/21849/27223/18140/22224/218973/74335",80
