"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","C1","C1","GO:0140014","mitotic nuclear division","71/1240","272/23239",7.62949040545254e-30,4.0512594052953e-26,2.92008706465531e-26,"11789/20878/20877/66165/56208/11799/12159/77744/12235/12237/268697/12443/12447/12449/12453/240665/107995/52563/23834/67849/52276/12617/229841/12649/12704/66934/13614/105988/67141/14184/209334/16002/16319/16551/381293/240641/110033/71819/16563/73804/16569/51944/16211/17295/17345/105837/17865/68298/78658/54392/215387/67052/59126/381318/68501/18226/108907/30939/26934/19384/19385/24061/13006/70099/50850/70385/20460/21335/72119/68612/74335",71
"2","C1","C1","GO:0048285","organelle fission","90/1240","464/23239",4.41999274899252e-27,1.17350807485751e-23,8.45847033438779e-24,"11789/20878/20877/66165/56208/11799/12159/77744/237911/12235/12237/12317/12323/268697/12443/12447/12449/12453/240665/107995/52563/23834/67849/52276/12617/229841/12649/12704/70383/66934/13614/268465/105988/211651/67141/14184/60530/209334/16002/16319/16542/16551/381293/240641/110033/71819/16563/73804/16569/51944/16211/67121/17295/239555/17345/105837/56428/67472/17865/68298/78658/54392/215387/72787/67052/59126/381318/68501/18226/108907/19017/30939/26934/19361/19384/19385/24061/13006/70099/50850/70385/20460/64707/21335/21973/21974/235559/72119/68612/74335",90
"7","C1","C1","GO:0006260","DNA replication","59/1240","243/23239",3.03137012619102e-23,2.07854453261915e-20,1.49818374875671e-20,"12301/12447/12544/23834/27221/110749/27214/76843/52679/108961/268465/67141/14156/14165/14182/209334/69270/272551/57441/15903/67444/16588/16881/71735/70024/17216/17215/17217/17218/17219/17220/71567/17295/212377/50927/18148/98415/56452/208084/18971/18973/19076/19353/19361/19646/19718/106344/68275/20133/20135/54380/24061/13006/20833/66592/114741/77011/21969/218973",59
"19","C1","C1","GO:0072001","renal system development","57/1240","297/23239",2.37570596583107e-17,6.63947298871735e-15,4.78563262701483e-15,"11481/11504/19378/11789/71371/12125/12159/73230/108000/74107/12387/233651/13642/17075/13838/13841/14048/14164/14165/14182/14260/17300/15229/231470/14537/14734/15213/21410/15902/15903/106633/16400/16449/269152/16776/16869/83557/14013/114249/71805/18510/18654/74055/19126/98711/268902/58198/20474/55994/20682/24063/20897/76365/64930/243931/93840/13003",57
"28","C1","C1","GO:0006403","RNA localization","40/1240","171/23239",1.35980067204962e-15,2.57876484592266e-13,1.85873505397459e-13,"223921/24015/11838/66165/12461/432508/70640/68278/53817/245474/276770/50912/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/55989/18148/103468/59015/18226/71805/56698/107939/68879/19384/109095/110379/225027/21454/107829/64930/103573/72322",40
"36","C1","C1","GO:0006913","nucleocytoplasmic transport","51/1240","307/23239",4.46328309819953e-13,6.19745906579875e-11,4.4670356156694e-11,"223921/24015/66165/12159/12189/12317/432508/110750/68278/53817/66233/217378/13605/276770/71999/14180/74412/53379/15519/15516/76582/230673/70572/226432/16480/16211/240354/230082/18148/103468/59015/18141/18226/71805/68051/56698/18767/107939/19250/19384/19387/109095/20963/107829/21849/64930/22346/103573/72322/74204/22627",51
"37","C1","C1","GO:0051169","nuclear transport","51/1240","307/23239",4.46328309819953e-13,6.19745906579875e-11,4.4670356156694e-11,"223921/24015/66165/12159/12189/12317/432508/110750/68278/53817/66233/217378/13605/276770/71999/14180/74412/53379/15519/15516/76582/230673/70572/226432/16480/16211/240354/230082/18148/103468/59015/18141/18226/71805/68051/56698/18767/107939/19250/19384/19387/109095/20963/107829/21849/64930/22346/103573/72322/74204/22627",51
"62","C1","C1","GO:1905818","regulation of chromosome separation","21/1240","64/23239",7.18741954066072e-12,6.15567705821104e-10,4.4369197707712e-10,"11789/20877/11799/12235/12237/268697/52563/23834/229841/12704/67141/209334/105837/67052/59126/68501/30939/70385/20460/21335/74335",21
"78","C1","C1","GO:0022613","ribonucleoprotein complex biogenesis","57/1240","420/23239",9.03096180413518e-11,6.14800092050741e-09,4.43138692575378e-09,"24015/66165/320790/72068/231464/432508/56200/53817/13205/245474/14000/13665/13669/55944/217869/50912/27041/23881/237221/14786/217995/15519/15516/226432/29806/67070/67678/75593/17975/100608/230082/67134/55989/18148/27374/214572/68879/56195/110816/19384/19656/70285/100503670/67223/72462/320632/20641/20815/20937/108143/64930/382038/225348/72515/67936/73674/103573",57
"112","C1","C1","GO:0050803","regulation of synapse structure or activity","41/1240","264/23239",7.26158398072325e-10,3.4427688337179e-08,2.48149617987873e-08,"11603/11838/239027/12323/53872/12404/107995/12558/12564/20430/56320/13640/112405/13838/13841/13845/104156/223254/399558/71436/14432/234267/15387/93842/545156/259277/16975/77579/18430/18530/56376/242662/20474/245450/20616/231637/22142/22154/22346/22631/241514",41
"129","C1","C1","GO:0034502","protein localization to chromosome","21/1240","84/23239",2.05511104325256e-09,8.45941057338844e-08,6.0974163633344e-08,"20877/12237/12461/12462/12465/12466/12468/12469/67849/12615/245474/14056/71735/71567/105837/67052/108911/68275/70385/21454/74493",21
"143","C1","C1","GO:1905330","regulation of morphogenesis of an epithelium","24/1240","111/23239",3.51387362355909e-09,1.30480202385306e-07,9.40481744222366e-08,"230959/140577/12159/68588/12387/104156/14164/14165/14182/57265/14734/15234/21410/16869/17295/18510/208177/19353/58198/72080/20319/20474/20682/93840",24
"145","C1","C1","GO:1905819","negative regulation of chromosome separation","15/1240","44/23239",3.9585457564883e-09,1.44964675634158e-07,1.04488365666726e-07,"11789/20877/11799/12235/12237/268697/229841/67141/209334/105837/67052/30939/70385/20460/74335",15
