"","curve1","curve2"
"E10.5_XX_20140505_C01_150331_1",9,9
"E10.5_XX_20140505_C02_150331_1",20,21
"E10.5_XX_20140505_C03_150331_1",31,31
"E10.5_XX_20140505_C04_150331_2",75,70
"E10.5_XX_20140505_C06_150331_2",61,60
"E10.5_XX_20140505_C07_150331_3",79,78
"E10.5_XX_20140505_C08_150331_3",123,NA
"E10.5_XX_20140505_C11_150331_4",21,20
"E10.5_XX_20140505_C15_150331_4",32,32
"E10.5_XX_20140505_C16_150331_6",138,NA
"E10.5_XX_20140505_C17_150331_6",28,28
"E10.5_XX_20140505_C18_150331_5",90,77
"E10.5_XX_20140505_C19_150331_7",16,17
"E10.5_XX_20140505_C20_150331_7",77,73
"E10.5_XX_20140505_C21_150331_6",46,46
"E10.5_XX_20140505_C22_150331_8",33,33
"E10.5_XX_20140505_C23_150331_8",7,7
"E10.5_XX_20140505_C24_150331_8",30,29
"E10.5_XX_20140505_C25_150331_1",44,45
"E10.5_XX_20140505_C27_150331_1",22,22
"E10.5_XX_20140505_C29_150331_2",29,30
"E10.5_XX_20140505_C30_150331_2",64,61
"E10.5_XX_20140505_C31_150331_3",105,91
"E10.5_XX_20140505_C33_150331_3",43,44
"E10.5_XX_20140505_C34_150331_4",37,36
"E10.5_XX_20140505_C36_150331_4",19,19
"E10.5_XX_20140505_C37_150331_5",41,41
"E10.5_XX_20140505_C38_150331_5",117,110
"E10.5_XX_20140505_C39_150331_5",15,15
"E10.5_XX_20140505_C40_150331_6",145,NA
"E10.5_XX_20140505_C41_150331_6",50,50
"E10.5_XX_20140505_C42_150331_8",132,NA
"E10.5_XX_20140505_C48_150331_8",119,116
"E10.5_XX_20140505_C51_150331_2",27,27
"E10.5_XX_20140505_C52_150331_2",10,10
"E10.5_XX_20140505_C54_150331_2",36,35
"E10.5_XX_20140505_C56_150331_1",135,NA
"E10.5_XX_20140505_C57_150331_3",11,11
"E10.5_XX_20140505_C58_150331_4",17,16
"E10.5_XX_20140505_C59_150331_4",104,96
"E10.5_XX_20140505_C60_150331_4",26,26
"E10.5_XX_20140505_C61_150331_5",1,1
"E10.5_XX_20140505_C62_150331_5",80,86
"E10.5_XX_20140505_C63_150331_5",3,3
"E10.5_XX_20140505_C65_150331_6",6,6
"E10.5_XX_20140505_C66_150331_6",4,4
"E10.5_XX_20140505_C67_150331_7",48,49
"E10.5_XX_20140505_C69_150331_7",24,24
"E10.5_XX_20140505_C70_150331_1",34,34
"E10.5_XX_20140505_C72_150331_1",12,12
"E10.5_XX_20140505_C74_150331_1",88,79
"E10.5_XX_20140505_C77_150331_2",5,5
"E10.5_XX_20140505_C78_150331_2",14,14
"E10.5_XX_20140505_C79_150331_3",18,18
"E10.5_XX_20140505_C80_150331_3",82,75
"E10.5_XX_20140505_C82_150331_5",2,2
"E10.5_XX_20140505_C83_150331_5",23,23
"E10.5_XX_20140505_C84_150331_4",52,53
"E10.5_XX_20140505_C85_150331_6",8,8
"E10.5_XX_20140505_C86_150331_6",131,NA
"E10.5_XX_20140505_C87_150331_6",38,39
"E10.5_XX_20140505_C88_150331_7",56,56
"E10.5_XX_20140505_C89_150331_8",25,25
"E10.5_XX_20140505_C90_150331_8",58,57
"E10.5_XX_20140505_C91_150331_7",35,37
"E10.5_XX_20140505_C92_150331_7",40,40
"E10.5_XX_20140505_C94_150331_8",87,81
"E10.5_XX_20140505_C96_150331_8",13,13
"E11.5_XX_20140708_C01_150331_1",95,99
"E11.5_XX_20140708_C05_150331_1",89,90
"E11.5_XX_20140708_C06_150331_1",126,118
"E11.5_XX_20140708_C07_150331_3",133,NA
"E11.5_XX_20140708_C08_150331_2",136,136
"E11.5_XX_20140708_C09_150331_2",156,138
"E11.5_XX_20140708_C10_150331_4",218,NA
"E11.5_XX_20140708_C11_150331_4",59,59
"E11.5_XX_20140708_C16_150331_6",203,NA
"E11.5_XX_20140708_C17_150331_5",NA,173
"E11.5_XX_20140708_C18_150331_8",60,62
"E11.5_XX_20140708_C19_150331_6",196,NA
"E11.5_XX_20140708_C20_150331_6",198,NA
"E11.5_XX_20140708_C21_150331_6",99,105
"E11.5_XX_20140708_C22_150331_8",108,104
"E11.5_XX_20140708_C23_150331_8",106,101
"E11.5_XX_20140708_C24_150331_8",175,NA
"E11.5_XX_20140708_C25_150331_1",54,52
"E11.5_XX_20140708_C26_150331_4",113,102
"E11.5_XX_20140708_C27_150331_4",185,NA
"E11.5_XX_20140708_C28_150331_3",237,NA
"E11.5_XX_20140708_C30_150331_3",146,NA
"E11.5_XX_20140708_C32_150331_5",166,155
"E11.5_XX_20140708_C33_150331_5",63,65
"E11.5_XX_20140708_C34_150331_8",155,NA
"E11.5_XX_20140708_C35_150331_7",140,140
"E11.5_XX_20140708_C36_150331_7",142,134
"E11.5_XX_20140708_C39_150331_8",148,NA
"E11.5_XX_20140708_C52_150331_2",100,112
"E11.5_XX_20140708_C53_150331_2",232,NA
"E11.5_XX_20140708_C56_150331_3",174,NA
"E11.5_XX_20140708_C58_150331_4",85,83
"E11.5_XX_20140708_C59_150331_4",183,NA
"E11.5_XX_20140708_C60_150331_4",225,NA
"E11.5_XX_20140708_C64_150331_6",62,63
"E11.5_XX_20140708_C67_150331_7",94,94
"E11.5_XX_20140708_C68_150331_2",212,NA
"E11.5_XX_20140708_C69_150331_8",178,NA
"E11.5_XX_20140708_C70_150331_1",164,150
"E11.5_XX_20140708_C71_150331_1",230,NA
"E11.5_XX_20140708_C73_150331_2",81,76
"E11.5_XX_20140708_C74_150331_2",167,158
"E11.5_XX_20140708_C76_150331_7",179,NA
"E11.5_XX_20140708_C77_150331_7",213,NA
"E11.5_XX_20140708_C78_150331_3",69,67
"E11.5_XX_20140708_C79_150331_5",107,113
"E11.5_XX_20140708_C80_150331_5",192,NA
"E11.5_XX_20140708_C82_150331_8",154,147
"E11.5_XX_20140708_C83_150331_7",NA,130
"E11.5_XX_20140901_C02_150331_3",71,72
"E11.5_XX_20140901_C03_150331_2",210,NA
"E11.5_XX_20140901_C06_150331_1",115,106
"E11.5_XX_20140901_C07_150331_5",65,64
"E11.5_XX_20140901_C08_150331_5",78,89
"E11.5_XX_20140901_C09_150331_1",97,88
"E11.5_XX_20140901_C10_150331_4",102,95
"E11.5_XX_20140901_C11_150331_3",139,127
"E11.5_XX_20140901_C12_150331_3",128,126
"E11.5_XX_20140901_C13_150331_7",162,153
"E11.5_XX_20140901_C16_150331_5",116,117
"E11.5_XX_20140901_C17_150331_8",51,51
"E11.5_XX_20140901_C18_150331_7",169,175
"E11.5_XX_20140901_C19_150331_2",42,42
"E11.5_XX_20140901_C20_150331_2",206,NA
"E11.5_XX_20140901_C22_150331_3",180,NA
"E11.5_XX_20140901_C24_150331_8",202,NA
"E11.5_XX_20140901_C26_150331_4",72,80
"E11.5_XX_20140901_C27_150331_4",173,NA
"E11.5_XX_20140901_C28_150331_6",153,NA
"E11.5_XX_20140901_C29_150331_6",112,119
"E11.5_XX_20140901_C30_150331_6",172,NA
"E11.5_XX_20140901_C31_150331_7",187,NA
"E11.5_XX_20140901_C32_150331_8",86,87
"E11.5_XX_20140901_C33_150331_8",67,69
"E11.5_XX_20140901_C34_150331_7",66,66
"E11.5_XX_20140901_C49_150331_3",189,NA
"E11.5_XX_20140901_C51_150331_1",NA,114
"E11.5_XX_20140901_C52_150331_1",49,48
"E11.5_XX_20140901_C55_150331_5",57,58
"E11.5_XX_20140901_C56_150331_5",217,NA
"E11.5_XX_20140901_C57_150331_3",184,NA
"E11.5_XX_20140901_C58_150331_7",127,115
"E11.5_XX_20140901_C61_150331_7",228,NA
"E11.5_XX_20140901_C64_150331_6",193,NA
"E11.5_XX_20140901_C65_150331_6",199,NA
"E11.5_XX_20140901_C66_150331_1",170,NA
"E11.5_XX_20140901_C67_150331_2",NA,162
"E11.5_XX_20140901_C68_150331_8",190,NA
"E11.5_XX_20140901_C69_150331_8",122,107
"E11.5_XX_20140901_C70_150331_3",186,NA
"E11.5_XX_20140901_C71_150331_4",157,159
"E11.5_XX_20140901_C73_150331_6",124,123
"E11.5_XX_20140901_C74_150331_4",211,NA
"E11.5_XX_20140901_C75_150331_4",151,NA
"E11.5_XX_20140901_C76_150331_7",143,131
"E11.5_XX_20140901_C77_150331_6",109,100
"E11.5_XX_20140901_C79_150331_7",91,97
"E11.5_XX_20140901_C81_150331_7",111,121
"E11.5_XX_20140901_C82_150331_8",39,38
"E11.5_XX_20140901_C83_150331_8",96,98
"E12.5_XX_20140317_C02_150331_2",93,92
"E12.5_XX_20140317_C06_150331_2",194,NA
"E12.5_XX_20140317_C07_150331_4",NA,154
"E12.5_XX_20140317_C08_150331_1",246,NA
"E12.5_XX_20140317_C10_150331_4",224,NA
"E12.5_XX_20140317_C12_150331_4",238,NA
"E12.5_XX_20140317_C16_150331_6",204,NA
"E12.5_XX_20140317_C20_150331_7",242,NA
"E12.5_XX_20140317_C21_150331_7",255,NA
"E12.5_XX_20140317_C23_150331_1",168,NA
"E12.5_XX_20140317_C24_150331_1",NA,212
"E12.5_XX_20140317_C25_150331_2",76,85
"E12.5_XX_20140317_C26_150331_2",161,157
"E12.5_XX_20140317_C27_150331_2",125,129
"E12.5_XX_20140317_C28_150331_3",222,NA
"E12.5_XX_20140317_C30_150331_3",249,NA
"E12.5_XX_20140317_C31_150331_3",221,NA
"E12.5_XX_20140317_C32_150331_3",165,165
"E12.5_XX_20140317_C34_150331_5",114,133
"E12.5_XX_20140317_C38_150331_5",NA,143
"E12.5_XX_20140317_C39_150331_6",53,54
"E12.5_XX_20140317_C40_150331_8",253,NA
"E12.5_XX_20140317_C41_150331_8",134,132
"E12.5_XX_20140317_C42_150331_8",NA,181
"E12.5_XX_20140317_C49_150331_2",NA,180
"E12.5_XX_20140317_C50_150331_2",207,NA
"E12.5_XX_20140317_C51_150331_2",229,NA
"E12.5_XX_20140317_C53_150331_3",260,NA
"E12.5_XX_20140317_C54_150331_3",208,NA
"E12.5_XX_20140317_C55_150331_4",101,93
"E12.5_XX_20140317_C58_150331_5",NA,177
"E12.5_XX_20140317_C59_150331_5",188,NA
"E12.5_XX_20140317_C60_150331_5",231,NA
"E12.5_XX_20140317_C61_150331_5",110,103
"E12.5_XX_20140317_C64_150331_7",244,NA
"E12.5_XX_20140317_C65_150331_7",NA,163
"E12.5_XX_20140317_C67_150331_7",257,NA
"E12.5_XX_20140317_C68_150331_8",NA,166
"E12.5_XX_20140317_C69_150331_1",149,152
"E12.5_XX_20140317_C70_150331_1",195,NA
"E12.5_XX_20140317_C71_150331_1",120,122
"E12.5_XX_20140317_C74_150331_2",191,NA
"E12.5_XX_20140317_C77_150331_3",256,NA
"E12.5_XX_20140317_C81_150331_5",248,NA
"E12.5_XX_20140317_C84_150331_5",47,47
"E12.5_XX_20140317_C87_150331_6",NA,185
"E12.5_XX_20140317_C93_150331_7",68,74
"E12.5_XX_20160111_C01_170330_1",239,NA
"E12.5_XX_20160111_C02_170330_1",209,NA
"E12.5_XX_20160111_C03_170330_1",118,125
"E12.5_XX_20160111_C07_170330_2",263,NA
"E12.5_XX_20160111_C08_170330_1",201,NA
"E12.5_XX_20160111_C10_170330_2",252,NA
"E12.5_XX_20160111_C11_170330_2",215,NA
"E12.5_XX_20160111_C12_170330_2",NA,190
"E12.5_XX_20160111_C15_170330_3",226,NA
"E12.5_XX_20160111_C16_170330_3",200,NA
"E12.5_XX_20160111_C18_170330_3",130,128
"E12.5_XX_20160111_C19_170330_4",159,156
"E12.5_XX_20160111_C20_170330_4",147,142
"E12.5_XX_20160111_C26_170330_5",223,NA
"E12.5_XX_20160111_C28_170330_5",236,NA
"E12.5_XX_20160111_C30_170330_6",243,NA
"E12.5_XX_20160111_C32_170330_6",103,108
"E12.5_XX_20160111_C34_170330_6",160,148
"E12.5_XX_20160111_C38_170330_7",296,NA
"E12.5_XX_20160111_C39_170330_7",220,NA
"E12.5_XX_20160111_C40_170330_7",171,NA
"E12.5_XX_20160111_C42_170330_7",250,NA
"E12.5_XX_20160111_C44_170330_8",216,NA
"E12.5_XX_20160111_C45_170330_8",158,NA
"E12.5_XX_20160111_C49_170330_1",NA,198
"E12.5_XX_20160111_C50_170330_1",144,167
"E12.5_XX_20160111_C51_170330_1",141,135
"E12.5_XX_20160111_C52_170330_1",234,NA
"E12.5_XX_20160111_C55_170330_2",247,NA
"E12.5_XX_20160111_C56_170330_2",235,NA
"E12.5_XX_20160111_C57_170330_2",NA,169
"E12.5_XX_20160111_C58_170330_2",177,NA
"E12.5_XX_20160111_C60_170330_3",205,NA
"E12.5_XX_20160111_C61_170330_3",NA,146
"E12.5_XX_20160111_C63_170330_3",73,71
