"","Cluster","Gene_Clusters","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","a","a","GO:0007059","chromosome segregation","89/1064","311/23239",4.73987444382636e-46,2.41070014213009e-42,1.77820131766286e-42,"13205/54141/66442/107995/54392/12189/23834/11799/67141/30939/66140/20877/21973/74335/219114/71988/19357/67203/26934/83815/67052/52563/16319/14156/67849/13006/108000/18005/66977/228421/108907/51944/12235/66934/13605/67037/12448/14211/72787/73804/20460/52276/12704/56150/58186/12144/110033/18817/17345/72155/71819/211651/16571/237911/70099/215387/78658/66468/21335/68298/22137/268465/214444/12236/108911/12190/268697/381293/18226/381280/26886/229841/230936/210711/108912/70218/105988/381318/12237/56742/70385/70645/72124/16211/12447/105837/19384/24061/21974",89
"2","a","a","GO:0140014","mitotic nuclear division","79/1064","272/23239",1.82000051677819e-41,4.62826131416693e-38,3.41393781147234e-38,"68612/54141/107995/16551/54392/23834/11799/17865/67141/30939/20877/74335/19357/67203/26934/67052/50850/52563/16319/67849/240641/13006/240665/18005/66977/228421/108907/51944/12235/72119/20878/66934/12428/12448/14211/73804/20460/52276/12704/56150/110033/18817/17345/12442/71819/16571/70099/215387/78658/21335/68298/22137/214444/12236/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/12443/12449/72124/16211/12447/19385/12159/105837/74237/16569/19384/66165/12649/24061",79
"3","a","a","GO:0000280","nuclear division","96/1064","417/23239",1.10085137244947e-40,1.86631002675934e-37,1.37664361102103e-37,"68612/54141/107995/16551/54392/23834/11799/17865/67141/30939/20877/21973/74335/19357/67203/26934/67052/50850/52563/16319/67849/240641/13006/240665/18005/64707/66977/67121/228421/108907/19361/51944/12235/72119/20878/66934/12428/12448/14211/72787/73804/20460/52276/19891/12704/56150/12144/110033/18817/17345/12442/71819/12316/211651/16571/237911/70099/215387/78658/60530/21335/68298/22137/268465/214444/12236/12190/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/12443/12449/72124/16211/12447/12317/19385/12159/105837/74237/16569/230861/19384/66165/12649/24061/21974/235559",96
"4","a","a","GO:0098813","nuclear chromosome segregation","74/1064","256/23239",9.82696822002794e-39,1.24949900917655e-35,9.21666177267884e-36,"54141/107995/54392/23834/11799/67141/30939/20877/21973/74335/71988/19357/26934/83815/67052/52563/16319/14156/67849/13006/108000/18005/66977/228421/108907/51944/12235/66934/13605/12448/14211/72787/73804/20460/52276/12704/56150/12144/110033/18817/71819/211651/16571/237911/70099/215387/78658/21335/68298/22137/268465/214444/12236/108911/12190/268697/381293/18226/229841/230936/210711/70218/105988/381318/12237/56742/70385/72124/16211/12447/105837/19384/24061/21974",74
"5","a","a","GO:0000819","sister chromatid segregation","62/1064","181/23239",1.89892457517116e-37,1.93158607786411e-34,1.42479309177053e-34,"54141/107995/54392/23834/11799/67141/30939/20877/21973/74335/71988/19357/26934/67052/52563/16319/14156/67849/13006/18005/66977/228421/108907/51944/12235/66934/14211/73804/20460/52276/12704/56150/110033/18817/71819/16571/70099/215387/78658/21335/68298/22137/214444/12236/268697/381293/18226/229841/230936/210711/70218/105988/381318/12237/56742/70385/72124/16211/105837/19384/24061/21974",62
"6","a","a","GO:0048285","organelle fission","97/1064","464/23239",2.56864122879917e-37,2.17735154827876e-34,1.60607672621759e-34,"68612/54141/107995/16551/54392/23834/11799/17865/67141/71804/30939/20877/21973/74335/19357/67203/26934/67052/50850/52563/16319/67849/240641/13006/240665/18005/64707/66977/67121/228421/108907/19361/51944/12235/72119/20878/66934/12428/12448/14211/72787/73804/20460/52276/19891/12704/56150/12144/110033/18817/17345/12442/71819/12316/211651/16571/237911/70099/215387/78658/60530/21335/68298/22137/268465/214444/12236/12190/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/12443/12449/72124/16211/12447/12317/19385/12159/105837/74237/16569/230861/19384/66165/12649/24061/21974/235559",97
"7","a","a","GO:0000070","mitotic sister chromatid segregation","56/1064","148/23239",1.27045963983437e-36,9.23079675456804e-34,6.80889948326272e-34,"54141/107995/54392/23834/11799/67141/30939/20877/74335/19357/26934/67052/52563/16319/67849/18005/66977/228421/108907/51944/12235/66934/14211/73804/20460/52276/12704/56150/110033/18817/71819/16571/70099/215387/78658/21335/68298/22137/214444/12236/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/72124/16211/105837/19384/24061",56
"8","a","a","GO:0007346","regulation of mitotic cell cycle","99/1064","499/23239",4.87517119968528e-36,3.09939009019991e-33,2.28619870469452e-33,"12544/13205/68612/27214/72349/16551/12189/23834/237877/11799/67141/12534/52679/19360/30939/20877/21973/74335/19357/14199/67052/52563/16319/67849/240641/13006/240665/108000/18005/108907/12235/72119/19650/12428/54124/12448/20460/19891/12545/208628/12704/56150/17193/12144/74041/18817/17345/12442/12530/21335/76843/22137/268465/214444/12236/108911/12190/268697/381293/269582/18226/12532/229841/77011/50875/12237/56742/70385/12443/12449/12447/17688/19385/18472/14165/12159/105837/17685/13194/57913/67628/14056/19684/12649/11792/24061/15289/15170/21974/15902/11504/64074/17536/56710/14182/235559/17300/67874/52468",99
"9","a","a","GO:0006281","DNA repair","88/1064","442/23239",3.23836477282543e-32,1.83003591495446e-29,1.3498867895146e-29,"12544/68275/18140/14235/55982/27221/18968/12189/19360/30939/67236/74335/71988/19357/14156/67849/13006/14048/22596/227525/19361/18538/66634/56456/14211/230484/19891/57434/12545/58186/17193/19362/12144/110033/211651/237911/70099/75317/60530/114741/226409/327762/76843/218973/268465/20937/234258/26909/208084/12190/216853/269582/212377/77011/16881/240087/60344/18861/17688/18973/110052/14165/56438/110749/71702/17685/13194/98415/20833/66165/272551/12649/11792/15312/24061/102871/15361/18148/15289/227867/211064/21974/12013/235559/97827/319955/15364/623474",88
"10","a","a","GO:0044772","mitotic cell cycle phase transition","77/1064","344/23239",7.07123757345022e-32,3.59643142985678e-29,2.65283060123964e-29,"12544/13205/68612/14235/27214/104394/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/14199/67052/50850/52563/67849/108000/67121/12235/19650/12428/54124/404710/12448/20460/19891/12545/12704/56150/17193/12144/77035/18817/12530/21335/76843/22137/214444/12236/108911/268697/381293/269582/12532/229841/77011/27401/50875/12237/70385/12443/636931/12447/17688/18973/14165/105837/13194/57913/67628/50927/14056/19684/12649/319651/11792/15170/15902/11504/12013/235559/52468",77
"11","a","a","GO:0006260","DNA replication","64/1064","243/23239",5.1217370873201e-31,2.36810498419182e-28,1.74678191188601e-28,"12544/68275/27214/27221/17218/18968/57441/23834/237877/67141/12534/52679/20135/67236/71988/107373/14156/18969/13006/19075/19076/70024/19361/18538/66634/12428/12448/19891/12545/72151/12144/114741/226409/327762/76843/218973/268465/208084/12190/212377/108961/77011/210711/16881/12447/17216/17688/18973/14165/17217/106344/110749/98415/20833/50927/17220/56452/272551/319651/24061/17215/18148/20133/14182",64
"12","a","a","GO:0044770","cell cycle phase transition","79/1064","381/23239",2.93224459718704e-30,1.24278300177444e-27,9.16712258278475e-28,"12544/13205/68612/14235/55982/27214/104394/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/14199/67052/50850/52563/67849/108000/67121/12235/19650/12428/54124/404710/12448/20460/19891/12545/12704/56150/17193/12144/77035/18817/12530/21335/76843/22137/214444/12236/108911/268697/381293/269582/12532/229841/77011/27401/50875/12237/70385/12443/636931/12447/17688/18973/14165/105837/13194/57913/67628/50927/14056/19684/12649/319651/11792/18148/15170/15902/11504/12013/235559/52468",79
"13","a","a","GO:0045787","positive regulation of cell cycle","76/1064","355/23239",4.14270787634363e-30,1.62075478916028e-27,1.19551505030678e-27,"12544/13205/68612/54141/27214/72349/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/26934/67052/50850/14156/67849/240641/240665/20873/227937/108907/12125/20878/13605/12428/54124/12448/20460/12545/12704/56150/12442/71819/12530/76843/108911/12190/268697/381293/18226/12532/229841/108961/50875/239336/56742/12443/12449/12447/12317/19385/53817/18472/14165/105837/57913/16569/67628/230861/14056/19684/12649/11792/18432/18148/15289/15902/11504/64074/17536/14182",76
