"","Cluster","Gene_Clusters","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","a","a","GO:0007059","chromosome segregation","89/1064","311/23239",4.73987444382636e-46,2.41070014213009e-42,1.77820131766286e-42,"13205/54141/66442/107995/54392/12189/23834/11799/67141/30939/66140/20877/21973/74335/219114/71988/19357/67203/26934/83815/67052/52563/16319/14156/67849/13006/108000/18005/66977/228421/108907/51944/12235/66934/13605/67037/12448/14211/72787/73804/20460/52276/12704/56150/58186/12144/110033/18817/17345/72155/71819/211651/16571/237911/70099/215387/78658/66468/21335/68298/22137/268465/214444/12236/108911/12190/268697/381293/18226/381280/26886/229841/230936/210711/108912/70218/105988/381318/12237/56742/70385/70645/72124/16211/12447/105837/19384/24061/21974",89
"2","a","a","GO:0140014","mitotic nuclear division","79/1064","272/23239",1.82000051677819e-41,4.62826131416693e-38,3.41393781147234e-38,"68612/54141/107995/16551/54392/23834/11799/17865/67141/30939/20877/74335/19357/67203/26934/67052/50850/52563/16319/67849/240641/13006/240665/18005/66977/228421/108907/51944/12235/72119/20878/66934/12428/12448/14211/73804/20460/52276/12704/56150/110033/18817/17345/12442/71819/16571/70099/215387/78658/21335/68298/22137/214444/12236/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/12443/12449/72124/16211/12447/19385/12159/105837/74237/16569/19384/66165/12649/24061",79
"3","a","a","GO:0000280","nuclear division","96/1064","417/23239",1.10085137244947e-40,1.86631002675934e-37,1.37664361102103e-37,"68612/54141/107995/16551/54392/23834/11799/17865/67141/30939/20877/21973/74335/19357/67203/26934/67052/50850/52563/16319/67849/240641/13006/240665/18005/64707/66977/67121/228421/108907/19361/51944/12235/72119/20878/66934/12428/12448/14211/72787/73804/20460/52276/19891/12704/56150/12144/110033/18817/17345/12442/71819/12316/211651/16571/237911/70099/215387/78658/60530/21335/68298/22137/268465/214444/12236/12190/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/12443/12449/72124/16211/12447/12317/19385/12159/105837/74237/16569/230861/19384/66165/12649/24061/21974/235559",96
"9","a","a","GO:0006281","DNA repair","88/1064","442/23239",3.23836477282543e-32,1.83003591495446e-29,1.3498867895146e-29,"12544/68275/18140/14235/55982/27221/18968/12189/19360/30939/67236/74335/71988/19357/14156/67849/13006/14048/22596/227525/19361/18538/66634/56456/14211/230484/19891/57434/12545/58186/17193/19362/12144/110033/211651/237911/70099/75317/60530/114741/226409/327762/76843/218973/268465/20937/234258/26909/208084/12190/216853/269582/212377/77011/16881/240087/60344/18861/17688/18973/110052/14165/56438/110749/71702/17685/13194/98415/20833/66165/272551/12649/11792/15312/24061/102871/15361/18148/15289/227867/211064/21974/12013/235559/97827/319955/15364/623474",88
"24","a","a","GO:0034502","protein localization to chromosome","30/1064","84/23239",2.24232285449078e-19,4.5784906777982e-17,3.37722556774485e-17,"68275/12534/20877/71988/19357/83815/67052/67849/66634/19891/12615/18817/245474/22137/12236/108911/12190/216853/12237/70385/12462/12465/105837/17685/74493/12469/12466/14056/12461/21454",30
"47","a","a","GO:1905818","regulation of chromosome separation","23/1064","64/23239",3.03700439699001e-15,3.28642646023217e-13,2.4241620763432e-13,"23834/11799/67141/30939/20877/74335/19357/67052/52563/12235/20460/12704/56150/18817/21335/22137/214444/12236/268697/229841/12237/70385/105837",23
"49","a","a","GO:0001655","urogenital system development","53/1064","340/23239",4.78854706504101e-15,4.97031640261195e-13,3.66624741993687e-13,"16869/21410/14634/74107/15201/14048/108000/18128/228357/16449/12125/58198/14155/56198/20474/231470/18993/14234/83557/14165/12159/13838/18510/55994/14228/71805/14260/13642/18654/17260/19378/14461/218772/15902/243931/11600/107587/11504/18552/18186/269152/93840/14013/19126/14182/73230/76365/24063/18131/23967/17300/14734/15229",53
"54","a","a","GO:0006403","RNA localization","36/1064","171/23239",1.11393339460693e-14,1.04916023055015e-12,7.73890568884812e-13,"68278/445007/21681/72787/54563/110379/245474/223921/227715/234865/216853/18226/15382/103468/432508/24015/72124/68879/53379/140486/53817/103573/225027/70640/23881/19384/140488/66165/71805/12461/59015/107939/18148/21454/109095/276770",36
"56","a","a","GO:1905819","negative regulation of chromosome separation","19/1064","44/23239",1.45088124168112e-14,1.31771107056968e-12,9.71981343111189e-13,"11799/67141/30939/20877/74335/19357/67052/12235/20460/56150/18817/22137/214444/12236/268697/229841/12237/70385/105837",19
"78","a","a","GO:0140013","meiotic nuclear division","34/1064","174/23239",5.92113517380822e-13,3.86088378128059e-11,2.84789821315149e-11,"107995/67141/30939/21973/64707/66977/67121/228421/19361/12235/20878/12448/14211/72787/19891/12144/18817/12316/211651/237911/70099/215387/78658/60530/22137/268465/12236/12190/105988/12447/12317/230861/21974/235559",34
"92","a","a","GO:0022613","ribonucleoprotein complex biogenesis","54/1064","420/23239",7.54933934786708e-12,4.17347173078826e-10,3.07847201782589e-10,"13205/103136/70683/56200/72068/56095/217869/67832/29806/98956/50911/74035/245474/67276/67678/225348/104662/20937/227715/72515/67936/217995/432508/24015/56351/57741/68879/20641/55944/27041/53817/103573/192159/15519/13669/27993/17975/67134/69639/56195/23881/19384/75593/66165/110816/19656/320790/226432/18148/72462/100503670/214572/320632/231464",54
"104","a","a","GO:0050657","nucleic acid transport","29/1064","148/23239",2.76093226731668e-11,1.33734300110216e-09,9.86462416111945e-10,"68278/445007/21681/72787/54563/110379/223921/234865/18226/15382/103468/432508/24015/72124/53379/140486/53817/103573/225027/23881/19384/140488/66165/71805/59015/107939/18148/109095/276770",29
"113","a","a","GO:0009314","response to radiation","49/1064","393/23239",2.10058775607698e-10,9.45450382956418e-09,6.97391221486573e-09,"12189/109689/20877/52033/14048/22596/11352/227525/19361/18538/13605/59001/230484/57434/58186/17193/19362/12144/74041/12530/211651/60530/226409/76843/12190/77011/72440/26416/12443/57741/17688/17685/13194/12912/98415/80750/85305/12649/15312/18148/15902/14725/17536/20319/108012/235559/319955/623474/20393",49
"122","a","a","GO:0060249","anatomical structure homeostasis","48/1064","386/23239",3.5197070493928e-10,1.46731393878785e-08,1.08233269404969e-08,"68275/19360/20877/74335/12824/22596/18005/227525/18128/98956/19361/18538/12448/19891/12144/245474/327762/225348/208084/12190/216853/56351/11991/12462/12447/53379/15519/12465/70640/74493/12469/12466/12461/11792/21454/12977/14461/382406/14538/219150/13052/12494/19126/22141/14062/17300/319955/68371",48
"167","a","a","GO:0061982","meiosis I cell cycle process","22/1064","113/23239",7.62631379163710e-09,2.32260071522553e-07,1.71321666267851e-07,"67141/30939/21973/19361/20878/12448/72787/19891/12144/18817/12530/211651/237911/268465/12190/12532/105988/12447/17688/230861/21974/235559",22
"216","a","a","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","15/1064","66/23239",2.20678965747919e-07,5.19617231386072e-06,3.83284519456912e-06,"23834/240665/12428/54124/12448/20460/12144/18817/12442/268697/56742/12443/12449/12447/66165",15
"243","a","a","GO:0010608","posttranscriptional regulation of gene expression","48/1064","487/23239",5.51721823901025e-07,1.15475604788503e-05,8.51781061461232e-06,"13205/72068/217869/13361/29806/22171/107508/17876/243574/245474/234734/67843/83557/27979/380669/636931/11991/12317/53379/13690/19205/140486/55944/53817/12159/16475/192170/17975/53872/230861/140488/75593/16201/64602/11792/230908/18148/100503670/76936/69956/276770/211064/11803/14538/56403/231464/13865/269037",48
"247","a","a","GO:1905330","regulation of morphogenesis of an epithelium","19/1064","111/23239",6.52096099326375e-07,1.34273715027285e-05,9.90441294693885e-06,"16869/21410/11352/72080/58198/20474/14165/12159/18510/104156/93840/20319/15234/14182/208177/140577/57265/14734/230959",19
"331","a","a","GO:0051098","regulation of binding","38/1064","392/23239",1.19891890761235e-05,0.000184220591060919,0.000135886372610285,"109689/20877/268970/67849/11352/18005/20878/12144/18817/22038/381280/97165/266692/55944/12159/192170/13838/98415/13589/16765/19384/20586/18102/15258/17260/12395/20610/15902/219150/11600/67839/16401/18741/233744/16392/17300/20666/15400",38
"433","a","a","GO:0150063","visual system development","35/1064","388/23239",0.000112625157107459,0.00132289041350701,0.00097580177447668,"16869/14634/16449/29876/14234/50524/77579/14165/12159/81896/20586/15312/320790/15258/15289/19378/218772/17268/107587/18186/17536/18741/19126/22141/268396/17300/208936/18212/23937/18213/20666/270120/234267/242022/195727",35
