"","status","family","pval","qval","genes","num_cells_expressed"
"eGFP","OK","negbinomial.size",3.17244464564517e-36,4.16779915321635e-34,"eGFP",400
"Cdc45","OK","negbinomial.size",7.02331677849931e-13,1.76802537346174e-11,"Cdc45",92
"Scmh1","OK","negbinomial.size",0.000492348592751897,0.00349437279222674,"Scmh1",222
"Ngfr","OK","negbinomial.size",0.00312455359008761,0.0172534456559479,"Ngfr",43
"Gna12","OK","negbinomial.size",0.00404022896910232,0.0214098183858481,"Gna12",239
"Igsf5","OK","negbinomial.size",4.35550634882781e-07,5.49316460714164e-06,"Igsf5",20
"Ccnd2","OK","negbinomial.size",6.26561689038421e-06,6.59615694670498e-05,"Ccnd2",352
"Drp2","OK","negbinomial.size",4.70860912413771e-25,3.12552517229604e-23,"Drp2",129
"Tspan32","OK","negbinomial.size",9.12051876885703e-15,2.76509573828906e-13,"Tspan32",11
"Gmpr","OK","negbinomial.size",1.93832336016908e-14,5.75203158081235e-13,"Gmpr",117
"Mid2","OK","negbinomial.size",0.000959793919732389,0.00624608922376929,"Mid2",11
"Trim25","OK","negbinomial.size",1.222383674727e-05,0.000121487020533151,"Trim25",77
"Cdh4","OK","negbinomial.size",1.86374816622306e-10,3.62181692949234e-09,"Cdh4",27
"Comt","OK","negbinomial.size",0.0025030536782085,0.0143102960061494,"Comt",247
"Rnf17","OK","negbinomial.size",0.00361763164771984,0.0195733892496965,"Rnf17",13
"Tbrg4","OK","negbinomial.size",0.0102043833755172,0.0458157910116611,"Tbrg4",175
"Egfl6","OK","negbinomial.size",2.61688018711573e-15,8.27170248619138e-14,"Egfl6",61
"Cttnbp2","OK","negbinomial.size",0.00186316565524673,0.011068415093722,"Cttnbp2",98
"Galnt1","OK","negbinomial.size",0.00660372263012535,0.0325082551956054,"Galnt1",290
"Hnrnpd","OK","negbinomial.size",0.00019629396427502,0.00154922370302663,"Hnrnpd",356
"Gm2a","OK","negbinomial.size",1.48940294435642e-23,8.98494409448524e-22,"Gm2a",372
"Hk2","OK","negbinomial.size",0.00103330872964234,0.00666567346235488,"Hk2",254
"Kat2b","OK","negbinomial.size",0.0110026598944902,0.048826722937829,"Kat2b",65
"Rpa1","OK","negbinomial.size",8.80761308884152e-05,0.00075258547612784,"Rpa1",220
"Serpinf1","OK","negbinomial.size",0.000715126394301589,0.00485162672669803,"Serpinf1",237
"Ddx3x","OK","negbinomial.size",0.0100577649674813,0.0453030470606693,"Ddx3x",394
"Car4","OK","negbinomial.size",7.85676651223449e-20,3.53891211615362e-18,"Car4",20
"Bcl11a","OK","negbinomial.size",1.68725845030786e-12,4.1001355636383e-11,"Bcl11a",104
"Mmp11","OK","negbinomial.size",0.00466932050336567,0.0242543122687182,"Mmp11",190
"Hoxa4","OK","negbinomial.size",0.000945382997029372,0.00615866237527605,"Hoxa4",20
"Slc7a7","OK","negbinomial.size",0.000193531388311279,0.00152933450462522,"Slc7a7",24
"Ilf2","OK","negbinomial.size",3.49371490826539e-05,0.000319990794648098,"Ilf2",388
"Epn2","OK","negbinomial.size",9.81537396281508e-12,2.23047741295538e-10,"Epn2",144
"Luzp1","OK","negbinomial.size",0.000503954712894625,0.0035687124306721,"Luzp1",220
"Col6a1","OK","negbinomial.size",0.000235346173450561,0.00182321003658383,"Col6a1",101
"Lgals9","OK","negbinomial.size",4.46991734559846e-11,9.31811529961781e-10,"Lgals9",40
"Ocrl","OK","negbinomial.size",0.00577242620682416,0.0290858327289118,"Ocrl",108
"Uhrf1","OK","negbinomial.size",2.37406178661772e-12,5.68153078801189e-11,"Uhrf1",248
"Lsr","OK","negbinomial.size",0.00123790869833373,0.00779845379789462,"Lsr",187
"Ckb","OK","negbinomial.size",0.0024725845638396,0.0141617786190486,"Ckb",57
"Efnb2","OK","negbinomial.size",0.00560415859362389,0.0283854008766203,"Efnb2",163
"Rnd2","OK","negbinomial.size",5.58873155008758e-07,6.92362960669277e-06,"Rnd2",101
"Fndc5","OK","negbinomial.size",5.62459076700765e-29,4.995587236162e-27,"Fndc5",145
"Acp5","OK","negbinomial.size",3.79956613139878e-09,6.41501044835361e-08,"Acp5",39
"Ube2c","OK","negbinomial.size",6.5698350243604e-20,3.00212896113164e-18,"Ube2c",121
"Cct3","OK","negbinomial.size",0.000406836013302549,0.00294547405268183,"Cct3",364
"Kpnb1","OK","negbinomial.size",3.08541409920907e-05,0.000284870004533124,"Kpnb1",332
"Cyp51","OK","negbinomial.size",0.00114218649764594,0.00727905816488658,"Cyp51",180
"Tubb6","OK","negbinomial.size",5.68701648212967e-13,1.45191602981011e-11,"Tubb6",111
"Meox1","OK","negbinomial.size",3.82066650662537e-15,1.19866283536217e-13,"Meox1",17
"Col1a1","OK","negbinomial.size",1.85444919632921e-10,3.60930760248519e-09,"Col1a1",224
"Foxm1","OK","negbinomial.size",9.85847716350239e-08,1.35885370476603e-06,"Foxm1",93
"Nrip2","OK","negbinomial.size",0.00018739986978571,0.00148646991052665,"Nrip2",43
"Tubb5","OK","negbinomial.size",4.72153499788975e-10,8.8088756499091e-09,"Tubb5",423
"Stk38l","OK","negbinomial.size",0.00270643058911809,0.0152790969516372,"Stk38l",259
"Hoxc8","OK","negbinomial.size",0.00763233843312747,0.0364847612362538,"Hoxc8",194
"Gstt1","OK","negbinomial.size",1.12750399196941e-07,1.54734280160154e-06,"Gstt1",69
"Gstt3","OK","negbinomial.size",0.000511562805715168,0.00361593023555315,"Gstt3",54
"Ubl3","OK","negbinomial.size",4.08000708062484e-09,6.84269272617559e-08,"Ubl3",315
"Cldn15","OK","negbinomial.size",0.0062295103164651,0.030980514239455,"Cldn15",16
"Tcirg1","OK","negbinomial.size",0.00487312699523243,0.0251678450712004,"Tcirg1",76
"Tspan33","OK","negbinomial.size",0.000755213172554471,0.00506905190646993,"Tspan33",25
"Rin2","OK","negbinomial.size",2.68326863185745e-11,5.82467882701999e-10,"Rin2",177
"Pwp1","OK","negbinomial.size",2.47208829582523e-05,0.000233368095710687,"Pwp1",181
"Capns1","OK","negbinomial.size",1.54488420293449e-05,0.000151039376491549,"Capns1",319
"Folr1","OK","negbinomial.size",3.45362747218774e-19,1.48659213922293e-17,"Folr1",107
"Sept7","OK","negbinomial.size",0.00179899957176558,0.0107479784931822,"Sept7",411
"Aif1l","OK","negbinomial.size",2.38584382745491e-44,4.23806511998048e-42,"Aif1l",126
"Ltbp1","OK","negbinomial.size",0.000162584270843425,0.00130855955576087,"Ltbp1",288
"Ugp2","OK","negbinomial.size",0.0016461348509121,0.00998603689876361,"Ugp2",245
"Kcnh6","OK","negbinomial.size",5.37483507627372e-14,1.4931149775763e-12,"Kcnh6",16
"Grik3","OK","negbinomial.size",2.08170964803266e-07,2.77390534788946e-06,"Grik3",49
"Pnck","OK","negbinomial.size",1.1782639648849e-15,3.82754026807205e-14,"Pnck",52
"Tmem25","OK","negbinomial.size",0.00234305936611511,0.0135369159411156,"Tmem25",27
"Spag5","OK","negbinomial.size",6.01876682133256e-17,2.19389269221521e-15,"Spag5",86
"Ccne1","OK","negbinomial.size",1.03779311455121e-16,3.69735784201125e-15,"Ccne1",68
"Mybpc3","OK","negbinomial.size",1.1754705535576e-05,0.000117286666309086,"Mybpc3",11
"Acp2","OK","negbinomial.size",0.000518766626972776,0.003657174231068,"Acp2",273
"Celf2","OK","negbinomial.size",0.00158871314015661,0.00967029446122354,"Celf2",151
"Stat6","OK","negbinomial.size",3.54533918592856e-07,4.54870984872136e-06,"Stat6",90
"Paxip1","OK","negbinomial.size",0.00333877407254719,0.0182921887936426,"Paxip1",188
"Mov10","OK","negbinomial.size",3.05210797715498e-05,0.000282208107095884,"Mov10",255
"Peg3","OK","negbinomial.size",2.88776989586552e-11,6.21511159157951e-10,"Peg3",413
"Zim1","OK","negbinomial.size",2.19453902145314e-09,3.77078012787016e-08,"Zim1",161
"Angptl4","OK","negbinomial.size",2.34467550713635e-08,3.53298058494667e-07,"Angptl4",148
"Dbf4","OK","negbinomial.size",5.3336565840219e-07,6.63393262699055e-06,"Dbf4",117
"Irf9","OK","negbinomial.size",0.00738240309485042,0.0355369724550586,"Irf9",97
"Slc25a42","OK","negbinomial.size",7.1560983501839e-08,1.00280791547244e-06,"Slc25a42",48
"Prpf6","OK","negbinomial.size",4.17174781277286e-05,0.000376891715004952,"Prpf6",248
"Abhd3","OK","negbinomial.size",7.22543316551892e-10,1.31307151417182e-08,"Abhd3",97
"Snrpd1","OK","negbinomial.size",0.00980184761074188,0.0444519604698585,"Snrpd1",397
"Axl","OK","negbinomial.size",5.84363210943665e-05,0.000513946221507776,"Axl",282
"Akap8l","OK","negbinomial.size",0.00258530402329917,0.0146873217756077,"Akap8l",243
"Prkd1","OK","negbinomial.size",0.00704725173774316,0.0342636618798831,"Prkd1",140
"Cse1l","OK","negbinomial.size",1.65903055169335e-05,0.000161075391208288,"Cse1l",285
"Baz1b","OK","negbinomial.size",0.000327566690955897,0.00242161260629295,"Baz1b",310
"Chaf1a","OK","negbinomial.size",5.02871578377969e-05,0.000447328820285169,"Chaf1a",123
"Adprh","OK","negbinomial.size",0.000269312805053014,0.00205231002859735,"Adprh",245
"Mcm2","OK","negbinomial.size",9.7539158336004e-06,9.86498688800066e-05,"Mcm2",243
"Cd97","OK","negbinomial.size",2.47438058302755e-16,8.48013258509333e-15,"Cd97",92
"Arrdc2","OK","negbinomial.size",1.70252894719319e-11,3.74734643664931e-10,"Arrdc2",12
"Map2k7","OK","negbinomial.size",0.00956472056410252,0.0435331128670015,"Map2k7",241
"Apoe","OK","negbinomial.size",0.000106253748326061,0.000888642091437854,"Apoe",224
"Prkar2b","OK","negbinomial.size",0.000219889551488977,0.00171505690994371,"Prkar2b",139
"Cdkn1b","OK","negbinomial.size",6.3604681015812e-10,1.16258295213249e-08,"Cdkn1b",345
"Klf4","OK","negbinomial.size",0.00862237470173372,0.0401126483726543,"Klf4",211
"Sri","OK","negbinomial.size",0.0113090074276021,0.0499227167227575,"Sri",351
"Edar","OK","negbinomial.size",1.28376008748437e-06,1.50611927659096e-05,"Edar",13
"Pld3","OK","negbinomial.size",4.08620276908209e-21,2.03696400488788e-19,"Pld3",288
"Rabac1","OK","negbinomial.size",0.0109807184315311,0.0487808456704722,"Rabac1",194
"Fcgrt","OK","negbinomial.size",0.00102840722665062,0.00663780549770603,"Fcgrt",153
"Nosip","OK","negbinomial.size",0.00577658017331137,0.0290951394352248,"Nosip",245
"Bicd1","OK","negbinomial.size",8.03224799316658e-10,1.45132824770511e-08,"Bicd1",105
"Dusp3","OK","negbinomial.size",0.00500733502100002,0.0257765344019805,"Dusp3",186
"Cp","OK","negbinomial.size",0.000164045546333961,0.00131612113890834,"Cp",24
"Crot","OK","negbinomial.size",0.000301922337165777,0.00225984837764675,"Crot",207
"Snrnp200","OK","negbinomial.size",0.00141976191962318,0.00878177407076386,"Snrnp200",313
"Insig2","OK","negbinomial.size",0.000568269052663162,0.00395967364209271,"Insig2",186
"Brd8","OK","negbinomial.size",5.59980131582724e-06,5.94483957872165e-05,"Brd8",379
"Kif20a","OK","negbinomial.size",3.35437364689836e-18,1.33455395693003e-16,"Kif20a",259
"Dnase2a","OK","negbinomial.size",0.00129205624472913,0.00811120625113182,"Dnase2a",86
"Calr","OK","negbinomial.size",3.70575852460091e-05,0.000337939454174018,"Calr",396
"Nfat5","OK","negbinomial.size",3.6068254153008e-05,0.000329155442386206,"Nfat5",326
"Nqo1","OK","negbinomial.size",0.000430224670198582,0.0030970282765665,"Nqo1",56
"Ssbp2","OK","negbinomial.size",4.67904277419155e-07,5.86018743476702e-06,"Ssbp2",252
"Gstm7","OK","negbinomial.size",3.84433894337518e-16,1.29986066364203e-14,"Gstm7",179
"Stat3","OK","negbinomial.size",0.00732219571085164,0.0353486387460443,"Stat3",141
"Ptrf","OK","negbinomial.size",2.24869819844198e-14,6.59548411133726e-13,"Ptrf",227
"Zak","OK","negbinomial.size",0.00774218078091926,0.0368836947468053,"Zak",103
"Dnmt1","OK","negbinomial.size",1.26256136248683e-08,1.96585480292394e-07,"Dnmt1",246
"Psap","OK","negbinomial.size",0.000514700389716643,0.00363053764826974,"Psap",257
"Ptpn6","OK","negbinomial.size",3.36563688056066e-09,5.69763923995048e-08,"Ptpn6",31
