"","Gene_Clusters"
"eGFP","1"
"Cdc45","2"
"Scmh1","1"
"Ngfr","3"
"Gna12","4"
"Igsf5","2"
"Ccnd2","5"
"Drp2","1"
"Tspan32","6"
"Gmpr","7"
"Mid2","3"
"Trim25","8"
"Cdh4","2"
"Comt","1"
"Rnf17","9"
"Tbrg4","4"
"Egfl6","6"
"Cttnbp2","6"
"Galnt1","10"
"Hnrnpd","11"
"Gm2a","5"
"Hk2","11"
"Kat2b","5"
"Rpa1","2"
"Serpinf1","12"
"Ddx3x","11"
"Car4","2"
"Bcl11a","13"
"Mmp11","14"
"Hoxa4","2"
"Slc7a7","14"
"Ilf2","11"
"Epn2","15"
"Luzp1","9"
"Col6a1","5"
"Lgals9","6"
"Ocrl","14"
"Uhrf1","2"
"Lsr","10"
"Ckb","3"
"Efnb2","13"
"Rnd2","1"
"Fndc5","16"
"Acp5","1"
"Ube2c","2"
"Cct3","11"
"Kpnb1","11"
"Cyp51","11"
"Tubb6","3"
"Meox1","9"
"Col1a1","3"
"Foxm1","2"
"Nrip2","7"
"Tubb5","9"
"Stk38l","10"
"Hoxc8","11"
"Gstt1","5"
"Gstt3","16"
"Ubl3","1"
"Cldn15","13"
"Tcirg1","5"
"Tspan33","16"
"Rin2","16"
"Pwp1","2"
"Capns1","10"
"Folr1","16"
"Sept7","13"
"Aif1l","17"
"Ltbp1","13"
"Ugp2","6"
"Kcnh6","16"
"Grik3","7"
"Pnck","5"
"Tmem25","8"
"Spag5","2"
"Ccne1","11"
"Mybpc3","15"
"Acp2","6"
"Celf2","5"
"Stat6","7"
"Paxip1","17"
"Mov10","10"
"Peg3","4"
"Zim1","1"
"Angptl4","5"
"Dbf4","2"
"Irf9","16"
"Slc25a42","15"
"Prpf6","11"
"Abhd3","10"
"Snrpd1","11"
"Axl","8"
"Akap8l","10"
"Prkd1","4"
"Cse1l","17"
"Baz1b","11"
"Chaf1a","2"
"Adprh","11"
"Mcm2","11"
"Cd97","1"
"Arrdc2","10"
"Map2k7","16"
"Apoe","16"
"Prkar2b","12"
"Cdkn1b","7"
"Klf4","1"
"Sri","10"
"Edar","6"
"Pld3","16"
"Rabac1","5"
"Fcgrt","5"
"Nosip","10"
"Bicd1","15"
"Dusp3","17"
"Cp","5"
"Crot","16"
"Snrnp200","11"
"Insig2","8"
"Brd8","2"
"Kif20a","2"
